id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
130,ОАО «Цветотрон»,http://www.tsvetotron.com/,"г. Брест, ул. Суворова, 96/1",52.07181,23.75224,,,,,0
131,ОДО «Панда»,https://www.panda.by/,"г. Брест, ул. Суворова, 21",52.06438,23.7418,,,,,0
132,РУП «Брестская фабрика сувениров «Славянка»,http://bfs-brest.by/,"г. Брест, ул. Я.Купалы, 5",52.10361,23.73429,,,,,0
133,РУП «Белоруснефть – Брестоблнефтепродукт»,https://www.belorusneft.by/sitebeloil/ru/addUp/about/stucture/marketing/supplies/brest/,"г. Брест, ул. ГОБК, 13",52.09286,23.66631,,,,,0
134,СМУ № 1 ОАО «Белсельэлектросетьстрой»,,"г. Брест, ул. Красногвардейская, 112/1",52.12467,23.69414,,,,,0
135,СП ОАО «Брестгазоаппарат»,https://www.gefest.by/,"г. Брест, ул. Орджоникидзе, 22",52.10209,23.69107,,,,,0
136,Унитарное предприятие «Брествторчермет»,http://www.bvm.brest.by/,"г. Брест, ул. Бауманская, 40",52.11447,23.64629,,,,,0
137,УП «Брестоблгаз»,https://www.brest.gas.by/,"г. Брест, ул. Генерала Попова, 16",52.08765,23.72094,,,,,0
138,Филиал КУП «Брестоблдорстрой» Брестское дорожное ремонтно-строительное управление № 138,,"г. Брест, ул. Вычулки,117",52.09614,23.81227,,,,,0
139,Брестское котельное хозяйство,https://bkh.brest.by/,"г. Брест, ул. Фортечная, 111",52.11893,23.68513,,,,,0
140,Государственное предприятие «Брестводоканал»,https://www.bvod.by/,"г. Брест, ул. Красногвардейская, 125",52.12272,23.69554,,,,,0
141,ЖЭС-3 КУП «ЖРЭУ г.Бреста»,,"г. Брест, ул. Малая, 3",52.08795,23.71262,,,,,0
142,КУП «Брестгорремстройтрест»,http://brestremtrest.by/,"г. Брест, ул. Лейтенанта Рябцева, 110",52.13934,23.67477,,,,,0
143,филиал РУП «Брестэнерго» Брестские электросети,http://brestenergo.by/%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%B8%D0%B5_%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%B5%D1%82%D0%B8,"г. Брест, ул. Красногвардейская,92",52.11715,23.68849,,,,,0
144,Брестский филиал РУП «Белпочта»,http://www.belpost.by/branch/brest/contacts/,"г. Брест, пр. Машерова, 32",52.0865,23.69049,,,,,0
145,Брестский филиал РУП «Белтелеком»,https://beltelecom.by/news/affiliates/brest,"г. Брест, пр. Машерова, 21",52.08623,23.69707,,,,,0
146,Войсковая часть 92616,,"г. Брест, в-г «Южный»",52.05967,23.73056,,,,,0
147,ГУО «Средняя школа д.Новые Лыщицы»,https://nlyschicy.schools.by/,"Брестская обл.,Брестский р-н,Лыщицкий с/с,д. Новые Лыщицы,ул. Мичурина, д.22",52.26108,23.49493,,,,,0
148,ГУО «Средняя школа д.Скоки»,https://skoki.schools.by/,"Брестская обл.,Брестский р-н,Мотыкальский с/с,д. Скоки,ул. Мира, д.48",52.15698,23.63025,,,,,0
149,ГУО «Средняя школа д.Страдечь имени Н.Е.Зайца»,https://stradech.roobrest.gov.by/,"Брестская обл.,Брестский р-н,Знаменский с/с,аг. Страдечь Школьная, д.2",51.93675,23.66155,,,,,0
150,ГУО «Средняя школа д.Черни»,https://cherni.schools.by/,"Брестская обл.,Брестский р-н,Чернинский с/с,аг. Черни,ул. Пионерская, д.18",52.14945,23.74939,,,,,0
151,Ясли-сад д.Знаменка,https://znamenka-du.roobrest.gov.by/,"Брестская обл.,Брестский р-н,Знаменский с/с,д. Знаменка,ул. Юбилейная, д.13/2",51.88184,23.65,,,,,0
152,Ясли-сад д.Клейники,https://klejniki-du.roobrest.gov.by/,"Брестская обл.,Брестский р-н,Клейниковский с/с,д. Клейники,ул. 60 Лет Октября, д.10",52.13998,23.60716,,,,,0
153,Ясли-сад д.Остромечево,https://ostromechevo-du.roobrest.gov.by/,"Брестская обл.,Брестский р-н,Лыщицкий с/с,д. Остромечево,ул. Дружбы, д.2",52.26797,23.58685,,,,,0
