ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Нестеров Валерий Григорьевич,судья,31.12.2013 № 587,суд Слуцкого района ,выход в отставку
Реутский Александр Викторович,судья,31.12.2013 № 587,суд Ленинского района г. Бреста ,выход в отставку
Рунов Геннадий Владимирович,судья,31.12.2013 № 587,Минский областной суд,выход в отставку
Сукач Владимир Васильевич,судья,31.12.2013 № 587,Верховный Суд,выход в отставку
Филатова Диана Геннадьевна,судья и председатель суда,31.12.2013 № 587,суд Стародорожского района,истечение срока полномочий (оставлена в должности судьи)
Филимонихина Лариса Яковлевна,судья,31.12.2013 № 587,Верховный Суд,выход в отставку
Шевченко Олег Иванович,судья,31.12.2013 № 587,суд Жлобинского района ,выход в отставку
Юдилевич Виктория Петровна,судья,31.12.2013 № 587,суд Борисовского района,по собственному желанию
Алисейко Ирина Александровна,судья,27.02.2018 № 88,суд Светлогорского района,выход в отставку
Андрейчук Николай Контантинович,судья и председатель суда и судья,27.02.2018 № 88,суд Брестского района,выход в отставку
Бирилло Андрей Олегович,судья,27.02.2018 № 88,суд Минского района,истечение срока полномочий
Бобков Николай Николаевич,судья,27.02.2018 № 88,Верховный суд,"совершение проступка, несовместимого с нахождением на государственной службе"
Буева Валентина Михайловна,судья,27.02.2018 № 88,Витебский областной суд,выход в отставку
Демещик Александр Викторович,судья и председатель суда и судья,27.02.2018 № 88,суд Островецкого района,по собственному желанию
Драчева Наталья Ивановна,судья,27.02.2018 № 88,суд Советского района г. Минска,по собственному желанию
Комиссаров Валерий Николаевич,судья,27.02.2018 № 88,Минский городской суд,выход в отставку
Крайников Александр Николаевич,судья,27.02.2018 № 88,суд Рогачевского района,истечение срока полномочий
Литвинюк Лариса Леонидовна,судья,27.02.2018 № 88,Суд Речицкого района,истечение срока полномочий
Лопатина Ольга Александровна,судья,27.02.2018 № 88,Суд Осиповичского района,по собственному желанию
Раткевич Александр Викторович,судья,27.02.2018 № 88,суд Островецкого района,истечение срока полномочий
Ситько Александр Михайлович,зам судья и председатель суда,27.02.2018 № 88,суд Октябрьского района г. Гродно,истечение срока полномочий (оставлен в должности судьи)
Шкель Татьяна Владимировна,судья и председатель суда,27.02.2018 № 88,суд Толочинского района,истечение срока полномочий (оставлена в должности судьи)
Астрейко Людмила Иосифовна,судья,20.08.2013 № 364,суд Солигорского района,по собственному желанию
Бандык Пётр Петрович,судья,20.08.2013 № 364,Гродненский областной суд,выход в отставку
Белянин Виктор Владимирович,судья,20.08.2013 № 364,суд Октябрьского района г. Минска ,систематические дисциплинарные нарушения
